agno;int_legal_din;int_dem;fecha_inicio;fecha_final;OBS
1997;7,5;9,5;01/01/1998;31/12/1997;
1998;5,5;7,5;01/01/1998;31/12/1998;
1999;4,25;5,5;01/01/1999;31/12/1999;
2000;4,25;5,5;01/01/2000;31/12/2000;
2001;5,5;6,5;01/01/2001;31/12/2001;
2002;4,25;5,5;01/01/2002;31/12/2002;
2003;4,25;5,5;01/01/2003;31/12/2003;
2004;3,75;4,75;01/01/2004;31/12/2004;
2005;4;5;01/01/2005;31/12/2005;
2006;4;5;01/01/2006;31/12/2006;
2007;5;6,25;01/01/2007;31/12/2007;
2008;5,5;7;01/01/2008;31/12/2008;
2009;5,5;7;01/01/2009;31/03/2009;hasta el 31-03-2009
2009;4;5;01/04/2009;31/12/2009;desde el 01-04-2009
2010;4;5;01/01/2010;31/12/2010;
2011;4;5;01/01/2011;31/12/2011;
2012;4;5;01/01/2012;31/12/2012;
2013;4;5;01/01/2013;31/12/2013;
2014;4;5;01/01/2014;31/12/2014;
2015;3,5;4,38;01/01/2015;31/12/2015;
2016;3;3,75;01/01/2016;31/12/2016;
2017;3;3,75;01/01/2017;31/12/2017;
2018;3;3,75;01/01/2018;31/12/2018;
2019;3;3,75;01/01/2019;31/12/2019;
2020;3;3,75;01/01/2020;31/12/2020;
2021;3;3,75;01/01/2021;31/12/2021;
2022;3;3,75;01/01/2022;31/12/2022;
2023;3,25;4,06;01/01/2023;31/12/2023;
2024;;;01/01/2024;31/12/2024;
2025;;;01/01/2025;31/12/2025;
2026;;;01/01/2026;31/12/2026;
2027;;;01/01/2027;31/12/2027;
2028;;;01/01/2028;31/12/2028;
